seed,pop_size,crossover,crossover_prob,mutation,mutation_prob,F1,F2,F3
20,200,HUX,0.0,IM,0.05,4.0, 86.0, 6830.604633521283
10,100,UX,0.5,BFM,0.05,3.0, 98.0, 9442.890268870551
10,100,UX,0.5,BFM,0.05,2.0, 134.0, 21536.60069810438
10,100,UX,0.5,BFM,0.05,1.0, 196.0, 67880.3635706255
10,100,UX,0.5,BFM,0.05,2.0, 132.0, 23911.862997881926
10,100,UX,0.5,BFM,0.05,4.0, 86.0, 6830.604633521283
10,100,UX,0.5,BFM,0.05,6.0, 82.0, 5900.916044556201
10,100,UX,0.5,BFM,0.05,7.0, 78.0, 5391.678885263456
10,100,UX,0.5,BFM,0.05,5.0, 82.0, 5978.13916086702
50,100,UX,0.5,BFM,0.05,1.0, 196.0, 67880.3635706255
50,100,UX,0.5,BFM,0.05,2.0, 132.0, 23911.862997881926
50,100,UX,0.5,BFM,0.05,2.0, 134.0, 21536.60069810438
50,100,UX,0.5,BFM,0.05,5.0, 82.0, 5978.13916086702
50,100,UX,0.5,BFM,0.05,3.0, 98.0, 9442.890268870551
50,100,UX,0.5,BFM,0.05,4.0, 86.0, 6830.604633521283
50,100,UX,0.5,BFM,0.05,6.0, 82.0, 5900.916044556201
50,100,UX,0.5,BFM,0.05,7.0, 78.0, 5391.678885263456
10,200,HUX,0.0,BFM,0.01,2.0, 132.0, 23911.862997881926
10,200,HUX,0.0,BFM,0.01,3.0, 98.0, 9442.890268870551
10,200,HUX,0.0,BFM,0.01,2.0, 134.0, 21536.60069810438
10,200,HUX,0.0,BFM,0.01,1.0, 196.0, 67880.3635706255
10,200,HUX,0.0,BFM,0.01,5.0, 82.0, 5978.13916086702
10,200,HUX,0.0,BFM,0.01,4.0, 86.0, 6830.604633521283
10,200,HUX,0.0,BFM,0.01,6.0, 80.0, 5756.269093539919
10,200,HUX,0.0,BFM,0.01,7.0, 78.0, 5391.678885263456
40,200,HUX,0.0,IM,0.05,1.0, 196.0, 67880.3635706255
40,200,HUX,0.0,IM,0.05,2.0, 132.0, 23911.862997881926
40,200,HUX,0.0,IM,0.05,2.0, 134.0, 21536.60069810438
